emotion,distance
4, 91 98 34 85 34 53 81 24 46 47 45 43 59 66 67 86 73 99 93 98 83 82 102 92
4, 85 101 35 80 32 48 78 27 49 53 45 40 62 72 66 80 64 104 94 112 81 81 118 91
4, 80 102 34 77 31 46 79 28 46 52 42 39 60 70 62 81 64 103 93 111 81 80 114 88
4, 85 99 34 79 32 48 77 26 47 51 44 39 60 69 63 82 65 101 94 110 81 81 114 90
4, 75 104 41 73 38 50 80 38 52 60 48 45 66 77 63 78 63 98 93 102 80 80 109 84
4, 88 95 34 85 32 48 81 25 48 49 45 41 61 68 68 80 65 99 92 102 79 80 106 90
4, 87 92 33 83 30 48 79 26 48 52 44 38 61 69 64 86 68 100 95 108 84 83 112 90
4, 87 94 32 83 31 49 78 25 47 49 43 39 60 67 66 87 68 101 95 110 81 82 113 92
4, 87 94 34 83 32 50 79 26 49 52 45 40 62 70 67 82 67 102 96 112 84 84 117 92
4, 445 475 169 426 148 237 413 126 250 257 237 197 308 347 335 421 332 516 472 538 419 413 560 466
4, 88 95 34 82 31 48 78 26 45 48 43 40 57 65 64 82 66 102 91 103 80 80 108 92
4, 76 101 36 75 33 49 80 30 48 52 45 42 61 69 61 79 64 98 89 103 78 79 107 85
4, 85 91 35 82 36 53 79 28 47 49 45 40 59 67 64 89 71 100 94 109 82 83 112 91
4, 87 106 34 81 32 49 79 25 47 52 42 40 62 71 66 83 67 103 95 108 81 81 113 93
4, 80 100 42 76 40 53 78 34 53 57 50 47 64 74 64 84 68 99 94 106 84 83 110 87
4, 79 95 33 74 29 43 75 25 46 51 42 42 61 71 61 77 59 107 92 113 78 80 119 87
4, 82 90 32 79 28 42 78 26 48 51 45 37 61 70 64 79 60 101 93 113 82 80 118 89
4, 84 89 33 79 32 48 78 27 48 52 43 38 62 71 65 82 65 101 94 110 82 81 115 90
4, 89 94 34 84 33 50 79 27 49 53 45 39 63 72 67 82 65 101 93 106 81 80 111 91
4, 84 95 37 81 34 49 80 30 51 53 47 43 62 71 65 82 65 99 94 107 83 82 113 89
